,ReviewTitle,RestaurantAddress,RestaurantName,Review,Food,RestaurantReview,FoodReview,RestaurantFeature(spacy),FoodFeature(spacy),RestaurantFeature(vader),FoodFeature(vader)
244,Condensed Milk And Sugar Tissue Prata,"2 Jurong East Central 1, Singapore",Springleaf Prata Place (JCube),"Very crispy, so worth a try but hardens after a while so eat fast",,"very crispy, so worth a try but hardens after a while so eat fast",,"crispy,worth,eat",,worth,
245,"Continuing on the little food journey at Kimchi Land, was bogged down with work when we got back.",,Nampo,"One of my colleague got a bad cold on day 1 busan, the hotel's owner was nice enough to bring us to the nearest medical center for a quick physician visit.Decided to settle at a place for lunch nearby our hotel while she gets some rest at the hotel. So here we are, salmon and niku don for the famished stomachs.#whati8today #burpple #8dayseat #korea #koreanfood #salmondon #beefdon #nampodong #nampo #busan #busanfood #lotte #tagforlikes #sgfood #sgfoodie #sgfoodies #sgfoods","beef,beefdon,salmon","one of my colleague got a bad cold on day 1 busan, the hotel's owner was nice enough to bring us to the nearest medical center for a quick physician visit. decided to settle at a place for lunch nearby our hotel while she gets some rest at the hotel.","so here we are, salmon and niku don for the famished stomachs.                ","got,bad,busan,nice,bring,nearest,medical,quick,decided,settle,gets",famished,"bad,nice",
246,"Cos there's no better way to end today other than with a dope piece of Fried Chicken in one hand, a bottle of bear in the other and finishing off with a nice hearty chicken soup to rid yourself off that nasty Pre-Monday Blues.",,Sunday's Grocery,"Because as the sign says, Sundays are better than others. Dammit, should have bought a t-shirt! #fanboyalert | @sundaysgrocery",,"because as the sign says, sundays are better than others. dammit, should have bought a t-shirt!  |",,"says,better,bought",,better,
247,"Crab- themed “no pork no lard “ buffet is back at Ginger @parkroyalbeachroad, masterfully prepared by Executive Chef Vincent Aw and team , available from now till 22 November 2019.","7500 Beach Road, Singapore",Si Chuan Dou Hua Restaurant (PARKROYAL on Beach Road),".🦀Claypot crab with pumpkin broth.🦀Singapore Chilli Crab.🦀Cheese crab.🦀Curry crab.🦀Bee Hoon Crab.🦀Stir Fried crab in salted egg yolk sauce..Beside this, seafood enthusiast may delight in Flower clams, cooked prawn, black mussels and mud crab with ginger and vinegar sauce..▪Weekend lunch (Saturday, Sunday and PH , 12 pm to 2.30 pm): $58.00++adult and $29.00++ child.▪Daily dinner (Monday to Thursday, 6 pm to 10 pm): $58.00++ adult and $29.00++ child.▪Daily dinner (Friday to Sunday and PH,6 pm to 10 pm) : $68.00++ adult and $34.00++ child..Location : Ginger @parkroyalbeachroad 7500 Beach Road, Singapore 199591.#gingerparkroyal #parkroyalbeachroad #burpple #burpplesg #sgcrabbuffet #crabbuffet #sgbuffet","broth,clam,crab,egg,mussels,prawn,pumpkin,salted egg,salted egg yolk,seafood,vinegar","▪weekend lunch (saturday, sunday and ph , 12 pm to 2.30 pm): $58.00++adult and $29.00++ child.▪daily dinner (monday to thursday, 6 pm to 10 pm): $58.00++ adult and $29.00++ child. ▪daily dinner (friday to sunday and ph,6 pm to 10 pm) : $68.00++ adult and $34.00++ child.. location : ginger  7500 beach road, singapore 199591.      ",".🦀claypot crab with pumpkin broth.🦀 singapore chilli crab.🦀cheese crab.🦀 curry crab.🦀 bee hoon crab.🦀stir fried crab in salted egg yolk sauce.. beside this, seafood enthusiast may delight in flower clams, cooked prawn, black mussels and mud crab with ginger and vinegar sauce..","▪,58.00++adult,child.,daily,ph,6","chilli,bee,stir,fried,salted,delight,cooked,prawn,black",,"enthusiast,delight"
248,Crabby Maki,"435 Orchard Road, Singapore",Koh Grill & Sushi Bar,Crispy soft-shell crab and spicy sauce sushi topped with smoky slices of torched yellowtail and an inch-high plateau of tobiko. Love this as much as the iconic Shiok Maki rolls!,"crab,sushi,tea,yellowtail",love this as much as the iconic shiok maki rolls!,crispy soft-shell crab and spicy sauce sushi topped with smoky slices of torched yellowtail and an inch-high plateau of tobiko.,"love,iconic,rolls","crispy,soft,spicy,topped,smoky,torched,yellowtail,high",love,
249,Crabmeat Khao Pad,"27 Teck Chye Terrace, Singapore",Yaowarat Seafood,"As expected, just some crabmeat here and there. Rice just slightly off the mark.","crab,crabmeat,meat",,"as expected, just some crabmeat here and there. rice just slightly off the mark.",,"expected,rice",,
250,Craft Beer Happy Hour,"30 Victoria Street, Singapore",Almost Famous Craft Beer Bar,"I've been wanting to pop by Almost Famous Craft Beer Bar for the longest time - finally did, albeit when happy hour was just over. Happy hour at this hole in the wall at CHIJMES is 4 - 7PM (Mon - Sat) / 2 - 8PM (Sun). Pints of craft beer go for $10+, premium craft beer for $12+. Happy Hour or not, whatever you swipe your (linked) credit card for, you'll get cashback from Shopback GO! I actually didn't know this until I checked my phone after I swiped 😂💳 Accepts credit cards🌬 Air-conditioned seats only🍽 Shopback GO partner📶 No free WiFi🙋🏻‍♀️ Service charge applicable🚫 No GST","beer,craft beer,pho","happy hour at this hole in the wall at chijmes is 4 - 7pm (mon - sat) / 2 - 8pm (sun). happy hour or not, whatever you swipe your (linked) credit card for, you'll get cashback from shopback go! only🍽 shopback go partner📶 no free wifi🙋 🏻‍♀️ service charge applicable🚫 no gst","i've been wanting to pop by almost famous craft beer bar for the longest time - finally did, albeit when happy hour was just over. pints of craft beer go for $10+, premium craft beer for $12+. i actually didn't know this until i checked my phone after i swiped 😂💳 accepts credit cards🌬 air-conditioned seats","happy,swipe,linked,🍽,free,wifi,🙋,applicable","wanting,pop,famous,longest,happy,actually know,checked,swiped,accepts,🌬,conditioned","happy,credit,free,🙋","happy,😂,💳,accepts,credit"
251,Craftsmen Specialty Coffee,"2 First Street, Singapore",Craftsmen Specialty Coffee (Siglap),-,,-,,,,,
252,Craving for something curry-based but not wanting laksa?,"180 Kitchener Road, Singapore",Face To Face Noodle House,You can try Curry Chicken Pan Mee ($11.90) from @facetofacesg! The Singapore flagship outlet has created this specially for patrons in Singapore and there are only limited servings a day. The rich and spicy curry will get you hooked!,curry,the singapore flagship outlet has created this specially for patrons in singapore and there are only limited servings a day.,you can try curry chicken pan mee ($11.90) from ! the rich and spicy curry will get you hooked!,"singapore,created,limited","try,rich,spicy,hooked","flagship,created,limited",rich
253,Cravings for this right now#visitpenang #penang #malaysiancafes #igersmalaysia #exploremalaysia #beautifuldestinations #flatlays #onthetable #essentials #travelgram #huntgram #artofvisuals #thecreatorclass #createcommune #insiderfood #f52grams #bestfoodaroundtheworld #theartofplating #cookmagazine #thefeedfeed #eattheworld #yahoofood #thisisinsiderfood #beautifulcuisines #burpple #cafefood #fujifilmsg #cafehopping,"26, Campbell Street, George Town",Aqua Lab,-,,-,,,,,
254,Creamy Oreo Crab,"3 Punggol Point Road, Singapore",House of Seafood (Punggol Point),"Another flavour similar to the Milo Crab here, this is also covered in a malty flavoued butter sauce and unless you have bits of the Oreo biscuits with it, the flavour of Oreo is not very evident. But with that said, if you like creamy malty flavours like me, you'll like the butter sauce too. Although it does get a little overwhelming after a couple of pieces of crab. Best shared with friends!","butter,butter sauce,crab,cream,pie",best shared with friends!,"another flavour similar to the milo crab here, this is also covered in a malty flavoued butter sauce and unless you have bits of the oreo biscuits with it, the flavour of oreo is not very evident. but with that said, if you like creamy malty flavours like me, you'll like the butter sauce too. although it does get a little overwhelming after a couple of pieces of crab.",best shared,"similar,covered,flavoued,oreo,evident,said,like,creamy,flavours,little,overwhelming","best,shared,friends",like
255,Creamy Seafood Fusilli,"2 Orchard Link, Singapore",The Coffee Bean & Tea Leaf (*SCAPE),"Al-dente fusilli with parmesan cheese, prawns and scallops in mustard cream sauce. I'm never a fan of cream based pasta but this was light and did not get overly creamy with time 》$14.90This is also available on Beyond 1 for 1 mains.Thanks @burpple for the invite and @coffeebeansg for hosting.","bean,beans,cheese,coffee,cream,cream sauce,fusilli,mustard,pasta,prawn,prawns,scallop",》 $14.90this is also available on beyond 1 for 1 mains. thanks  for the invite and  for hosting.,"al-dente fusilli with parmesan cheese, prawns and scallops in mustard cream sauce. i'm never a fan of cream based pasta but this was light and did not get overly creamy with time","》,available,hosting","parmesan,prawns,based,overly creamy","thanks,invite",fan
256,Crispiest Croissants Ever?!,4d ago,Maureen Ow,Classic CroissantRead more: https://www.misstamchiak.com/petit-pain/,,,classic croissantread more: https://www.misstamchiak.com/petit-pain/,,"classic,croissantread",,
257,Crispy Bun With Condensed Milk,"200 Victoria Street, Singapore",One Canton,"Attractive premise, unfulfilled execution. Although they did the right thing in toasting the bun, it's not bread of good quality. Whatever they spread on it also wasn't sweet enough.","bread,bun,toast","attractive premise, unfulfilled execution. whatever they spread on it also wasn't sweet enough.","although they did the right thing in toasting the bun, it's not bread of good quality.","attractive,unfulfilled,spread,sweet","right,toasting,good","attractive,unfulfilled,sweet",good
258,Crispy Salmon Mentaiyaki,"1 HarbourFront Walk, Singapore",Sushi Tei (VivoCity),"Salmon on crispy gyoza skin and tomato sauce topped with mentaiko sauce 》$9.80The overall dish, especially the salmon is very dry. I didn't get to taste the tomato sauce where it probably gets overwritten by the mentaiko sauce. I felt that the mentaiko sauce did not help with the dry salmon and it kind of made it overly jelak.","gyoza,mentaiko,salmon,tomato,tomato sauce",,"salmon on crispy gyoza skin and tomato sauce topped with mentaiko sauce 》$9.80the overall dish, especially the salmon is very dry. i didn't get to taste the tomato sauce where it probably gets overwritten by the mentaiko sauce. i felt that the mentaiko sauce did not help with the dry salmon and it kind of made it overly jelak.",,"topped,overall,dry,taste,probably gets,overwritten,felt,help,kind overly jelak",,"help,kind"
259,Crispy tofu #burpple,"34 Cassia Crescent, Singapore",Mui Thiang Kee Eating House,-,,-,,,,,
260,Croque Madam,"501 Orchard Road, Singapore",Spinelli Coffee Company (Wheelock Place),False advertising looks worlds apart when compared with the advertised image,,false advertising looks worlds apart when compared with the advertised image,,"false,looks,apart compared,advertised",,,
261,"Crunchy Spiced French Toast, Bacon, Fresh Berries And Maple Syrup","17D Dempsey Road, Singapore",The Dempsey Cookhouse & Bar,-,,-,,,,,
262,Cups N Canvas,"139 Selegie Road, Singapore",Cups N Canvas,"Sweet potato latte, Yuzu cheesecake and ChocoMint island. It's gonna be a sweet sweet Sunday today, so there goes my diet!","cake,cheese,cheesecake,potato","it's gonna be a sweet sweet sunday today, so there goes my diet!","sweet potato latte, yuzu cheesecake and chocomint island.","gon,sweet,goes","sweet,cheesecake,chocomint",sweet,sweet
263,Curiosity always gets this chips monster.,"302 Tiong Bahru Road, Singapore",Tiong Bahru Plaza,Always. 😅😛😋 New Beef Rendang chips from @feastchips..#feastchips #feast #sgig #potatochips #beefrendang #beefrendangchips #jiaklocal #localflavours #singaporechips #burpple #southeastasianflavours,"beef,beefrendang,potato",,always. 😅😛😋 new beef rendang chips from ..          ,,"😛 😋,new,rendang",,😅
264,Curried Chicken Wrap - Generous portion of curried chicken filling(love the spicy kick) and melted cheese pairs very well together.,"100 Guillemard Road, Singapore",Brawn & Brains Coffee (Guillemard),"The addition of toasted black sesame seeds provides a subtle trace of nutty note and a nice crunchy texture to the already flavourful wrap. It is my definite order each time I'm here!.~Oven-baked Molten Eggs - When I first ordered this, I was scratching my head as to how the eggs are able to keep its shape with the yolks perfectly done(still molten). My guess is this - the eggs are probably sous-vide first, crack open on the tortilla wrap and broil quickly with added cheese on top, forming that killer cheese blanket. A simple dish that allows the freshness of ingredients to shine through and through. .~Oh and that lovely Pen & Pencil house blend - my first coffee in weeks. Still as punchy as before!#EileenWantsToCampHereForever #BrawnAndBrainsCoffee #SgCafe #Brunch #Burpple #Eggs #Favourite #Best #GrabFoodie","black sesame,cheese,coffee,egg,eggs,nut,toast,tortilla,tortilla wrap,wrap",it is my definite order each time still as punchy as before!        ,"the addition of toasted black sesame seeds provides a subtle trace of nutty note and a nice crunchy texture to the already flavourful wrap. i'm here!.~oven-baked molten eggs - when i first ordered this, i was scratching my head as to how the eggs are able to keep its shape with the yolks perfectly done(still molten). my guess is this - the eggs are probably sous-vide first, crack open on the tortilla wrap and broil quickly with added cheese on top, forming that killer cheese blanket. a simple dish that allows the freshness of ingredients to shine through and through. .~oh and that lovely pen & pencil house blend - my first coffee in weeks.","definite,punchy","toasted,black,provides,subtle,nutty,nice,crunchy,flavourful,baked,molten,ordered,scratching,able,perfectly done(still,probably sous,crack,open,quickly added,forming,simple,allows,shine,lovely",definite,"nice,perfectly,killer,lovely"
265,Curry 'O' Crab,"3 Punggol Point Road, Singapore",House of Seafood (Punggol Point),"I’m not usually a fan of curry dishes, however this one took my fancy. The crab is soaked in the sauce that was flavourful and the curry was not overwhelming or too milky so you could still tastes the fresh crab meat. If you’re looking for a very spicy curry dish, this is not for you. The curry was not overly creamy but it had enough flavour that infused the crab meat unlike most of the other crab dishes where the crab was merely tossed in or drizzled over with sauce. Out of all the crab dishes we tried, most of us liked this the most.","crab,crab meat,cream,curry,meat,milk",however this one took my fancy.,"i’m not usually a fan of curry dishes, the crab is soaked in the sauce that was flavourful and the curry was not overwhelming or too milky so you could still tastes the fresh crab meat. if you’re looking for a very spicy curry dish, this is not for you. the curry was not overly creamy but it had enough flavour that infused the crab meat unlike most of the other crab dishes where the crab was merely tossed in or drizzled over with sauce. out of all the crab dishes we tried, most of us liked this the most.",took,"soaked,flavourful,overwhelming,milky,tastes,fresh,looking,spicy,overly creamy,infused,merely tossed,drizzled,tried,liked",,"fan,fresh,liked"
266,Curry Chicken & Prata ($6.80 Set w Kopi),"1 Kallang Junction, Singapore",Banchong Cafe,A delightful place for morning meetings. High ceiling and greenery. Breath of fresh air in this neighborhood.,,a delightful place for morning meetings. high ceiling and greenery. breath of fresh air in this neighborhood.,,"delightful,high,fresh",,"delightful,fresh",
267,Curry Fried Chicken,"200 Victoria Street, Singapore",Chir Chir Fusion Chicken Factory (Bugis Junction),"Not usually a fan of curry, but this had a really addictive sweet/salty flavour and a crisp batter that I couldn't resist and ended up having a few pieces of this. 🙈— Chir Chir —200 Victoria Street, #02-50 Bugis Junction, Singapore 188021","curry,pie","🙈— chir chir —200 victoria street, -50 bugis junction, singapore 188021","not usually a fan of curry, but this had a really addictive sweet/salty flavour and a crisp batter that i couldn't resist and ended up having a few pieces of this.",chir,"addictive,sweet,flavour,crisp,resist,ended,having",,"fan,sweet"
268,DIY Bowl [$7],"12 Gopeng Street, Singapore",YOLO (Icon Village),"Base: Spicy Brown Rice Noodles [$1.50]Protein: Lemongrass Chicken [$2.50], Soy Egg [$1.50/each]Sufficient portion. The lemongrass chicken breast was surprisingly moist and had a nice hint of lemongrass. Brown rice noodles resembled a lot like thick beehoon, doused in a spicy coconut gravy.","beehoon,chicken,lemon,lemongrass,lemongrass chicken,noodle,noodles,nut,rice,thick beehoon",base:,"spicy brown rice noodles [$1.50]protein: lemongrass chicken [$2.50], soy egg [$1.50/each]sufficient portion. the lemongrass chicken breast was surprisingly moist and had a nice hint of lemongrass. brown rice noodles resembled a lot like thick beehoon, doused in a spicy coconut gravy.",,"spicy,brown,1.50/each]sufficient,lemongrass,surprisingly moist,nice,resembled,thick,doused,coconut",,"surprisingly,nice,like"
269,DIY Salad (Cold Proteins - $11),"1 HarbourFront Walk, Singapore",Toss & Turn (VivoCity),"Brought my own container since I already intended to takeaway my salad, but I could also make a side by side comparison with the salad I ordered at Cedele last week. Theoretically they should be the same portion since they are under the same group, but Toss & Turn has once again proven how value for money their salad option is.What’s in my bowl:Base - soba, romaine lettuceProtein - 2 cold (spicy chicken and brined tuna)Toppings - eggplant, corn kernels, bell peppers and pumpkinDressing - cashew lime Just look at how much meat I was given for $11! I managed to get the spicy mayo chicken chunks and brined tuna, and I’m not sure if it was close to closing time which was why I got an extra huge helping of the protein (the orange part on top is totally chicken, and the bottom half was tuna which has been obscured by the four toppings). Super super value for money given the portion size and makes for a very fulfilling and delicious meal! With the seasoned proteins, I didn’t even need the cashew lime dressing. Not a fancy salad place by any means, but one that provides a wide spread of consistently good and value for money ingredients!","bell peppers,cashew lime,chicken,corn,egg,lettuce,meat,pumpkin,romaine lettuce,salad,tuna","theoretically they should be the same portion since they are under the same group, super super value for money given the portion size and makes for a very fulfilling and delicious meal! but one that provides a wide spread of consistently good and value for money ingredients!","brought my own container since i already intended to takeaway my salad, but i could also make a side by side comparison with the salad i ordered at cedele last week. but toss & turn has once again proven how value for money their salad option is. what’s in my bowl:base - soba, romaine lettuceprotein - 2 cold (spicy chicken and brined tuna)toppings - eggplant, corn kernels, bell peppers and pumpkindressing - cashew lime just look at how much meat i was given for $11! i managed to get the spicy mayo chicken chunks and brined tuna, and i’m not sure if it was close to closing time which was why i got an extra huge helping of the protein (the orange part on top is totally chicken, and the bottom half was tuna which has been obscured by the four toppings). with the seasoned proteins, i didn’t even need the cashew lime dressing. not a fancy salad place by any means,","super,given,makes,fulfilling,delicious,provides,wide,consistently good","brought,intended,takeaway,ordered,toss,proven,cold,spicy,brined,eggplant,pumpkindressing,cashew,look,given,managed,sure,close,got,extra,extra huge,orange,totally chicken,obscured,seasoned,need,fancy","super,value,delicious,good","value,sure,huge,helping"
270,Dad’s vegetarian and he just had THIS for lunch!!,"10 Bayfront Avenue, Singapore",Bread Street Kitchen Singapore,"😂 It’s @gordongram’s signature Beef Wellington but made with the plant-based @impossible_foods meat! Looks sooooo deceiving, even the “medium-rare” looks so real. It’s delicious, Dad enjoyed his meal..#breadstreetkitchen #sgig #impossiblefoods #burpple #beefwellington #meatfree #vegan #impossiblebeefwellington #gordanramsay #veganbeefwellington #marinabaysands #vegetarian #impossibleburger #plantbased","beef,bread,burger,meat,vegan","😂 it’s ’s signature looks sooooo deceiving, even the “medium-rare” looks so real. it’s delicious, dad enjoyed his meal..             ",beef wellington but made with the plant-based  meat!,"😂,looks,sooooo,deceiving,“,medium,rare,real,delicious,enjoyed",based,"😂,deceiving,delicious,enjoyed",
271,"Dear all, Tuesday has been cancelled due to the lack of interest.","Lot GF-08D, The Waterfront, Kuala Lumpur",Three Little Birds Coffee (Desa ParkCity),"Let's all just chill out by the pond and eat cake. Speaking about cake""pond"", here's a luxurious chocolate beet cake with gold dusting no less to get you through the afternoon | #chocolate #cake #dessert #food #foodies #foodporn #foodstagram #foodgasm #foodforfoodies #foodvsco #foodspotting #vscocam #vscofood #kualalumpur #malaysia #eatkl","cake,chocolate,dessert,mala",,"let's all just chill out by the pond and eat cake. speaking about cake""pond"", here's a luxurious chocolate beet cake with gold dusting no less to get you through the afternoon |                ",,"let,chill,speaking,luxurious,dusting",,
272,Deep Fried Baby Barramundi $18,"1 Fullerton Road, Singapore",Palm Beach Seafood Restaurant,"50 Restaurant brands across the city has dedicated a whole month (01 July to 10 August) to celebrate the nation's golden jubilee in an culinary way - deliciously and affordably.One of the city's most venerated seafood power house - Palm Beach Seafood Restaurant offers the whole Barramundi fish at an unbelievable price of $18 per 500g.The locally sourced baby Barramundi is deep fried and served with crispy cuttlefish that have been tossed with honey and kaffir sauce. The dish is good for sharing two person, but at a whopping low price of $18, I wouldn't mind having one fish all to myself.Read more at http://www.alainlicious.com/2015/06/singapore-restaurant-month-2015.html","fish,rice,seafood","50 restaurant brands across the city has dedicated a whole month (01 july to 10 august) to celebrate the nation's golden jubilee in an culinary way - deliciously and affordably. the dish is good for sharing two person, read more at http://www.alainlicious.com/2015/06/singapore-restaurant-month-2015.html","one of the city's most venerated seafood power house - palm beach seafood restaurant offers the whole barramundi fish at an unbelievable price of $18 per 500g. the locally sourced baby barramundi is deep fried and served with crispy cuttlefish that have been tossed with honey and kaffir sauce. but at a whopping low price of $18, i wouldn't mind having one fish all to myself.","dedicated,celebrate,golden,culinary,good,sharing,read","venerated,offers,barramundi,unbelievable,locally sourced,deep fried,served,tossed,whopping,low,mind,having","dedicated,celebrate,deliciously,good,sharing","unbelievable,low"
273,Deep fried till super crunchy and then topped with a mango salad.,"5001 Beach Road, Singapore",Dee Tongue Thai by Rung Mama,We all enjoyed this especially when we rarely do any deep frying at home.,,we all enjoyed this especially when we rarely do any deep frying at home.,,"enjoyed,especially rarely deep",,enjoyed,
274,Deep-Fried Garlic Pork,"27 Teck Chye Terrace, Singapore",Yaowarat Seafood,Shiok. Moist and enough fat.,,shiok. moist and enough fat.,,moist,,,
275,Deep-Fried Pork Belly With Fermented Beancurd (SGD $20 / $30 / $40) @ Famous Treasure.,"13 Stamford Road, Singapore",Famous Treasure,"This features tender moist chunks of pork belly, coated in a crisp fermented beancurd crust that crunches lightly when bit..With a good ratio of fat to lean meat, the pork belly carries a deep earthy savoury salty flavour from the accompanying crust..Plated with soft cloves of roasted garlic, which carry pungent smoky herbal spice flavour..Served with a thin coriander and mint dipping sauce, with bright herbal vegetal sweet flavour..Invited tasting....Famous TreasureMore details in profile & blog","bean,beancurd,coriander,meat,pork,pork belly","plated with soft cloves of roasted garlic, which carry pungent smoky herbal spice flavour.. invited tasting.... famous treasuremore details in profile & blog","this features tender moist chunks of pork belly, coated in a crisp fermented beancurd crust that crunches lightly when bit.. with a good ratio of fat to lean meat, the pork belly carries a deep earthy savoury salty flavour from the accompanying crust.. served with a thin coriander and mint dipping sauce, with bright herbal vegetal sweet flavour..","plated,soft,roasted,carry,pungent,smoky,herbal,invited,tasting,famous,treasuremore,profile","features,tender,moist,coated,crisp,fermented,beancurd,crunches,lightly bit,good,lean,carries,deep,earthy,salty,accompanying,served,thin,coriander,bright,herbal,vegetal,sweet",,"good,bright,sweet"
276,Deep-fried Dumpling,"290 Orchard Road, Singapore",Crystal Jade Golden Palace (Paragon),"Deep-fried dumpling with prawn bits & assorted vegetable served with superior broth. This little dumpling was crispy on the outside and had lots of flavour. You're supposed to take it and dip it into the broth so that the shell soaks in the flavour and becomes soft. But I quite enjoy the dumpling crisp instead as the fillings are already of a tender texture. The broth tastes nice with the dumpling, but I wouldn't drink it on its own as the flavour was a little strong for me.","broth,dumpling,prawn,tea,vegetable",but i wouldn't drink it on its own as the flavour was a little strong for me.,"deep-fried dumpling with prawn bits & assorted vegetable served with superior broth. this little dumpling was crispy on the outside and had lots of flavour. you're supposed to take it and dip it into the broth so that the shell soaks in the flavour and becomes soft. but i quite enjoy the dumpling crisp instead as the fillings are already of a tender texture. the broth tastes nice with the dumpling,","drink,little,strong","fried,dumpling,prawn,assorted,served,superior,little,supposed,dip,soaks,soft,enjoy,crisp,tender,tastes,nice",strong,"dumpling,superior,enjoy,nice"
277,Delicious Smoky Roast Meats In Hong Fu Ling 81 Eating House,Oct 15 at 5:17pm,Maureen Ow,Char Siew Roasted Pork NoodleRead more: https://www.misstamchiak.com/tian-cheng-charcoal-roasted/,,,char siew roasted pork noodleread more: https://www.misstamchiak.com/tian-cheng-charcoal-roasted/,,roasted,,
278,Delicious Vegetarian Bak Kut Teh & Handmade Unagi,"190 Middle Road, Singapore",Vege Pot,Handmade Dumpling With Dry Ramen - The soft and springy noodles are drenched in a savoury dark sauce.Read more: https://www.misstamchiak.com/vege-pot/,"noodle,noodles",read more: https://www.misstamchiak.com/vege-pot/,handmade dumpling with dry ramen - the soft and springy noodles are drenched in a savoury dark sauce.,read,"handmade,dumpling,dry,soft,springy,drenched,dark",,dumpling
279,"Dessert - Hashima 🐸 , mango coulis in mini pumpkin 🎃 with red bean pancake 👍🏻👍🏻👍🏻💯🐾 .","317 Outram Road, Singapore",Xin Cuisine Chinese Restaurant (Holiday Inn Singapore Atrium),......#burpple #burpplesg #openrice #openricesg #whati8today #hungrygowhere #cafesg #cafehoppingsg #sgfoodblogger #foodie #foodies #sgfoodporn #sgfoodunion #instafoodsg #igfoodie #iweeklyfood #foodcoma #foodstamping #sgblogger #singaporefood #foodporn #dubai #iphone6s #vscocam #dessert,"dessert,pho,rice",......                        ,,,,,
280,Dessert don't know what's this lol 😂😂😂 thinks it's Staw🐻ry 🍓 shortcake??,"100 Peck Seah Street, Singapore",The Marmalade Pantry (Downtown),.......#burpple #burpplesg #openrice #openricesg #whati8today #hungrygowhere #cafesg #cafehoppingsg #sgfoodblogger #foodie #foodies #sgfoodporn #sgfoodunion #instafoodsg #igfoodie #iweeklyfood #foodcoma #foodstamping #sgblogger #singaporefood #foodporn #dubai #iphone6s #vscocam #strawberry #dessert,"berry,dessert,pho,rice,strawberry",.......                         ,,,,,
281,"Did not realize that @macuisine1996 has a star under their belt when I visited last month, but yea the food was great and so were the wines.","38 Craig Road, Singapore",Ma Cuisine,"Don’t miss their ribeye cocotte which comes with this creamy scalloped potato gratin, elbow macaroni cooked in beef fat, and a refreshing salad to cut through the richness.","beef,beef fat,cream,macaroni,potato,ribeye,salad,scallop",,"don’t miss their ribeye cocotte which comes with this creamy scalloped potato gratin, elbow macaroni cooked in beef fat, and a refreshing salad to cut through the richness.",,"miss,comes,creamy,scalloped,cooked,refreshing,cut",,"miss,gratin,cut,richness"
282,Did you know that Mothers' Day ❤️ is this weekend?,"1 Kim Seng Promenade, Singapore",Crystal Jade Kitchen (Great World City),Time flies! Crystal Jade Kitchen has introduced dishes just for this special occasion! Expect to find old school favourites like braised pig's trotters with ginger and vinegar 🐷 and new ones like shaker-fries style deep fried soft shell crab 🦀!,"crab,fries,soft shell crab,vinegar",time flies! crystal jade kitchen has introduced dishes just for this special occasion!,expect to find old school favourites like braised pig's trotters with ginger and vinegar 🐷 and new ones like shaker-fries style deep fried soft shell crab 🦀!,"introduced,special","expect,find,old,braised,🐷,new,deep fried,soft",special,like
283,Dim Sum Har Gao 😍💯 today's Chef must be on good mood.,27-May-16,Sakura Bear,Everything is nice 😁 .......#burpple #burpplesg #openrice #openricesg #whati8today #hungrygowhere #cafesg #cafehoppingsg #sgfoodblogger #foodie #foodies #sgfoodporn #sgfoodunion #instafoodsg #igfoodie #iweeklyfood #foodcoma #foodstamping #sgblogger #singaporefood #foodporn #dubai #iphone6s #vscocam #dimsum,"dimsum,pho,rice",everything is nice 😁 .......                        ,,"nice,😁",,"nice,😁",
284,Dimsum buffet at @fullofluckclub yesterday and it was so awesome!,"243 Holland Avenue, Singapore",Full of Luck Restaurant,Loving their porridge especially the one with braised pork meat.#fullofluckclub #flatlays #onthetable #essentials #travelgram #huntgram #artofvisuals #thecreatorclass #createcommune #insiderfood #f52grams #bestfoodaroundtheworld #theartofplating #cookmagazine #thefeedfeed #eattheworld #yahoofood #thisisinsiderfood #beautifulcuisines #burpple #sgcafefood #cafefoodsg #sginsiders #exploresingapore #visitsingapore #yoursingapore #fujifilmsg #cafehopping,"braised pork,meat,pork,porridge",,loving their porridge especially the one with braised pork meat.                           ,,"loving,especially braised",,loving
285,Dine in at @sheratontowerssg The Dining Room and Stand a chance to WIN a pair of return economy class air tickets to bangkok and a 3D2N stay in Bangkok Marriot Marquis Queen’s Park from now till 23rd Oct 2019!,"39 Scotts Road, Singapore",The Dining Room (Sheraton Towers Singapore),".Featuring a spree of THAItalising highlights such as-▪️Khao Yum (southern thai rice salad with assorted toppings)▪️Miang Pla Thord (mango crispy fish salad)▪️Yum Som-O Gai Cheek (pomelo chicken salad)▪️Gaeng Khuai Poo Bai Sha Pool) (Coconut red curry crab)▪️Taeng Moo Pla Haeng (watermelon salad).PriceLunch $58++(adult), $29++(children)Dinner $78++(adult), $39++(children).📸 & 📝 @myjream.Location: @sheratontowerssg.#sheratontowerssg #burpple #burpplesg","chicken,crab,curry,fish,mango,nut,pomelo,rice,salad,thai rice salad,watermelon salad",,".featuring a spree of thaitalising highlights such as-▪️khao yum (southern thai rice salad with assorted toppings)▪️miang pla thord (mango crispy fish salad)▪️yum som-o gai cheek (pomelo chicken salad)▪️gaeng khuai poo bai sha pool) (coconut red curry crab)▪️taeng moo pla haeng (watermelon salad).pricelunch $58++(adult), $29++(children)dinner $78++(adult), $39++(children).📸 & 📝 .location: .  ",,".featuring,thaitalising,▪,southern,thai,assorted,️miang,pla,mango,gai,sha,coconut,red,moo,📸",,
